1,Afghanistan,Afghan
2,Albania,Albanian
3,Algeria,Algerian
4,Andorra,Andorran
5,Angola,Angolan
6,Argentina,Argentinian
7,Armenia,Armenian
8,Australia,Australian
9,Austria,Austrian
10,Azerbaijan,Azerbaijani
11,Bahamas,Bahamian
12,Bahrain,Bahraini
13,Bangladesh,Bangladeshi
14,Barbados,Barbadian
15,Belarus,Belarusian or Belarusan
16,Belgium,Belgian
17,Belize,Belizean
18,Benin,Beninese
19,Bhutan,Bhutanese
20,Bolivia,Bolivian
21,Bosnia-Herzegovina,Bosnian
22,Botswana,Botswanan
23,Brazil,Brazilian
24,Britain,British
25,Brunei,Bruneian
26,Bulgaria,Bulgarian
27,Burkina,Burkinese
28,Burma (official nameMyanmar),Burmese
29,Burundi,Burundian
30,Cambodia,Cambodian
31,Cameroon,Cameroonian
32,Canada,Canadian
33,Cape Verde Islands,Cape Verdean
34,Chad,Chadian
35,Chile,Chilean
36,China,Chinese
37,Colombia,Colombian
38,Congo,Congolese
39,Costa Rica,Costa Rican
40,Croatia,Croat or Croatian
41,Cuba,Cuban
42,Cyprus,Cypriot
43,Czech Republic,Czech
44,Denmark,Danish
45,Djibouti,Djiboutian
46,Dominica,Dominican
47,Dominican Republic,Dominican
48,Ecuador,Ecuadorean
49,Egypt,Egyptian
50,El Salvador,Salvadorean
51,England,English
52,Eritrea,Eritrean
53,Estonia,Estonian
54,Ethiopia,Ethiopian
55,Fiji,Fijian
56,Finland,Finnish
57,France,French
58,Gabon,Gabonese
59,"Gambia, the",Gambian
60,Georgia,Georgian
61,Germany,German
62,Ghana,Ghanaian
63,Greece,Greek
64,Grenada,Grenadian
65,Guatemala,Guatemalan
66,Guinea,Guinean
67,Guyana,Guyanese
68,Haiti,Haitian
69,Holland (alsoNetherlands),Dutch
70,Honduras,Honduran
71,Hungary,Hungarian
72,Iceland,Icelandic
73,India,Indian
74,Indonesia,Indonesian
75,Iran,Iranian
76,Iraq,Iraqi
77,"Ireland, Republic of",Irish
78,Italy,Italian
79,Jamaica,Jamaican
80,Japan,Japanese
81,Jordan,Jordanian
82,Kazakhstan,Kazakh
83,Kenya,Kenyan
84,Kuwait,Kuwaiti
85,Laos,Laotian
86,Latvia,Latvian
87,Lebanon,Lebanese
88,Liberia,Liberian
89,Libya,Libyan
90,Liechtenstein,-
91,Lithuania,Lithuanian
92,Luxembourg,-
93,Macedonia,Macedonian
94,Madagascar,Malagasy or Madagascan
95,Malawi,Malawian
96,Malaysia,Malaysian
97,Maldives,Maldivian
98,Mali,Malian
99,Malta,Maltese
100,Mauritania,Mauritanian
101,Mauritius,Mauritian
102,Mexico,Mexican
103,Moldova,Moldovan
104,Monaco,Monégasque or Monacan
105,Mongolia,Mongolian
106,Montenegro,Montenegrin
107,Morocco,Moroccan
108,Mozambique,Mozambican
109,Myanmar see Burma,-
110,Namibia,Namibian
111,Nepal,Nepalese
112,Netherlands,Dutch
113,New Zealand,New Zealand
114,Nicaragua,Nicaraguan
115,Niger,Nigerien
116,Nigeria,Nigerian
117,North Korea,North Korean
118,Norway,Norwegian
119,Oman,Omani
120,Pakistan,Pakistani
121,Panama,Panamanian
122,Papua New Guinea,Papua New Guinean orGuinean
123,Paraguay,Paraguayan
124,Peru,Peruvian
125,the Philippines,Philippine
126,Poland,Polish
127,Portugal,Portuguese
128,Qatar,Qatari
129,Romania,Romanian
130,Russia,Russian
131,Rwanda,Rwandan
132,Saudi Arabia,Saudi Arabian or Saudi
133,Scotland,Scottish
134,Senegal,Senegalese
135,Serbia,Serb or Serbian
136,"Seychelles, the",Seychellois
137,Sierra Leone,Sierra Leonian
138,Singapore,Singaporean
139,Slovakia,Slovak
140,Slovenia,Slovene or Slovenian
141,Solomon Islands,-
142,Somalia,Somali
143,South Africa,South African
144,South Korea,South Korean
145,Spain,Spanish
146,Sri Lanka,Sri Lankan
147,Sudan,Sudanese
148,Suriname,Surinamese
149,Swaziland,Swazi
150,Sweden,Swedish
151,Switzerland,Swiss
152,Syria,Syrian
153,Taiwan,Taiwanese
154,Tajikistan,Tajik or Tadjik
155,Tanzania,Tanzanian
156,Thailand,Thai
157,Togo,Togolese
158,Trinidad and Tobago,Trinidadian
159,,Tobagan/Tobagonian
160,Tunisia,Tunisian
161,Turkey,Turkish
162,Turkmenistan,Turkmen or Turkoman
163,Tuvalu,Tuvaluan
164,Uganda,Ugandan
165,Ukraine,Ukrainian
166,United Arab Emirates (UAE),UAE or Emirates
167,United Kingdom (UK),UK or British
168,United States of America (USA),US
169,Uruguay,Uruguayan
170,Uzbekistan,Uzbek
171,Vanuatu,Vanuatuan
172,Vatican City,-
173,Venezuela,Venezuelan
174,Vietnam,Vietnamese
175,Wales,Welsh
176,Western Samoa,Western Samoan
177,Yemen,Yemeni
178,Yugoslavia,Yugoslav
179,Zaire,Zaïrean
180,Zambia,Zambian
181,Zimbabwe,Zimbabwean
